,Country,Industry,Gas_Type,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
142,Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,6556.341024,7203.20976,7563.034644,7892.697981,7990.62785,7972.358272,8144.536092,8501.10005,8735.448053,8871.832263,8757.510929,9376.187823
143,Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Methane,14.54444117,14.60608825,14.36510922,14.22887912,14.98353955,14.44513275,14.97640093,15.18734171,14.94978631,15.00936713,14.50126127,15.90884801
144,Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Nitrous oxide,62.6169158,68.64536835,72.72067699,75.35162163,76.6861019,75.29228182,77.31116309,81.31407698,82.89581573,84.29905132,82.78912337,93.0368452
145,Asia,Manufacturing,Carbon dioxide,4415.158692,4675.590929,4803.305671,4734.38189,4839.616283,4795.906664,4812.073882,4806.35731,4958.802634,5071.560988,5090.419741,5712.606257
146,Asia,Manufacturing,Fluorinated gases,371.8324629,407.390617,441.7553483,471.0068577,521.3109446,475.4555999,504.8372271,535.296607,571.8195065,584.5978698,580.353345,662.9204911
147,Asia,Manufacturing,Greenhouse gas,5124.987634,5456.566424,5626.826279,5586.07441,5747.104314,5649.879212,5681.720266,5717.293917,5906.362454,6048.415998,6057.17143,6776.440278
148,Asia,Manufacturing,Methane,281.9786384,316.0376129,323.458448,320.5148005,324.3864353,316.5754967,301.7240294,310.8271578,307.4137199,323.0461814,318.5223471,323.0383251
149,Asia,Manufacturing,Nitrous oxide,56.01784118,57.54726525,58.30681187,60.17086141,61.79065118,61.94145096,63.08512788,64.81284199,68.32659422,69.21095803,67.87599647,77.87520554
150,Asia,Mining,Carbon dioxide,1394.549146,1461.168817,1482.851153,1503.183493,1523.968,1516.181079,1462.597711,1463.114249,1505.737007,1546.699831,1540.20411,1623.237874
151,Asia,Mining,Greenhouse gas,1555.161955,1640.172926,1664.60768,1682.744092,1705.566316,1689.52081,1630.841493,1634.00036,1676.388327,1726.80266,1717.631788,1801.763726
152,Asia,Mining,Methane,155.0871892,173.2523164,175.9261617,173.8217951,175.8337061,167.5672906,162.8143056,165.6046827,165.261293,174.5393414,171.9479702,172.6631685
153,Asia,Mining,Nitrous oxide,5.525619858,5.75179233,5.83036529,5.738803979,5.764610451,5.772440418,5.429476622,5.281428658,5.390026787,5.563487725,5.479708215,5.862683072
154,Asia,Other Services Industries,Carbon dioxide,899.3150314,925.901143,971.0319061,1017.874961,1038.306027,1104.798756,1120.615128,1150.01325,1173.131076,1180.578943,1094.603831,1169.403886
155,Asia,Other Services Industries,Fluorinated gases,8.202477484,9.581985806,10.52542796,12.28373846,14.10248509,15.86417603,17.8374992,20.52369736,23.27882075,23.8042908,23.75405236,28.26824238
156,Asia,Other Services Industries,Greenhouse gas,1099.164881,1126.077998,1171.317532,1217.49679,1238.398258,1302.79765,1319.122597,1348.485814,1376.316099,1391.068951,1300.679349,1398.878599
157,Asia,Other Services Industries,Methane,183.8787471,182.4479721,181.2228466,178.4714683,176.9292954,173.0231834,171.5466255,168.5993879,170.4639574,177.0043996,173.2949542,190.9044069
158,Asia,Other Services Industries,Nitrous oxide,7.768625,8.146896623,8.537351761,8.866622529,9.060450949,9.111534233,9.123344273,9.34947826,9.442244093,9.681317288,9.026511718,10.30206424
159,Asia,Total Households,Carbon dioxide,1757.146839,1838.638015,1919.623491,1963.004547,2000.526165,2041.894721,2087.232761,2146.964411,2187.185022,2246.698821,2164.14094,2338.502703
160,Asia,Total Households,Fluorinated gases,1.67168562,3.097566264,4.162466528,5.739171037,7.364042766,8.964212494,10.77493632,13.13922133,15.56825436,15.89241691,16.11194508,19.8552732
161,Asia,Total Households,Greenhouse gas,1820.593755,1905.324979,1988.953402,2034.233592,2074.551577,2116.588965,2163.402897,2227.577775,2271.450324,2333.708937,2249.688375,2432.975157
162,Asia,Total Households,Methane,10.76241737,11.12757145,11.55892568,11.50545208,12.44164349,11.82727216,12.26516594,13.43496269,13.74900298,14.24787769,13.98337714,15.15039524
163,Asia,Total Households,Nitrous oxide,51.01281349,52.46182636,53.60851882,53.98442167,54.21972604,53.90275968,53.13003362,54.03918038,54.94804477,56.8698216,55.45211275,59.46678581
164,Asia,Total Industry and Households,Carbon dioxide,17432.90389,18621.03071,19317.7773,19743.34743,20111.76016,20191.93681,20370.19824,20868.2326,21431.08175,21873.54363,21486.38864,23242.57834
165,Asia,Total Industry and Households,Fluorinated gases,395.4956341,436.884178,479.0053729,517.4765682,573.9459088,534.2801381,570.5266102,609.3434438,654.285046,668.800764,664.8795684,759.6478048
166,Asia,Total Industry and Households,Greenhouse gas,23247.93119,24664.70814,25469.70927,25985.48005,26443.90889,26519.15771,26779.3056,27391.42118,28051.28735,28762.57151,28221.7706,30543.22929
167,Asia,Total Industry and Households,Methane,4303.023358,4455.72334,4509.285675,4547.562603,4593.997276,4611.283419,4659.884329,4732.489115,4774.514169,4982.828146,4864.055265,5214.220516
168,Asia,Total Industry and Households,Nitrous oxide,1116.50831,1151.069911,1163.640918,1177.093447,1164.205538,1181.657339,1178.696423,1181.356015,1191.40638,1237.398969,1206.447121,1326.782633
169,Asia,Transportation and Storage,Carbon dioxide,801.4425662,839.9803427,874.1823399,906.3194932,961.2643811,990.4859251,1019.581285,1079.04299,1111.892995,1161.022709,1047.793621,1149.7313
170,Asia,Transportation and Storage,Fluorinated gases,13.78900807,16.81400899,22.56213015,28.446801,31.16843635,33.99614965,37.07694761,40.38391811,43.61846437,44.50618654,44.66022591,48.60379811
171,Asia,Transportation and Storage,Greenhouse gas,849.231953,892.2315561,933.0107159,971.6142451,1031.009971,1063.47186,1096.557548,1161.045507,1198.511866,1251.148687,1136.672517,1247.47347
172,Asia,Transportation and Storage,Methane,5.47800662,5.893307258,6.136544368,6.174958515,6.809164176,7.023664143,7.332317661,7.808059558,8.042119441,8.687401486,8.697464774,10.10509961
173,Asia,Transportation and Storage,Nitrous oxide,28.52237208,29.54389716,30.12970146,30.67299238,31.76798956,31.96612106,32.56699759,33.81053875,34.95828735,36.93239045,35.52120588,39.03327291
174,Asia,"Water supply; sewerage, waste management and remediation activities",Carbon dioxide,117.6537057,120.2020425,132.3852357,135.5272008,142.9895938,151.296514,157.242538,162.1466791,161.4045341,162.2370269,165.3599405,169.1845961
175,Asia,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,1449.150803,1510.838014,1552.176157,1584.992725,1626.307462,1662.097234,1703.926241,1737.534614,1766.24905,1825.016355,1788.891499,2003.732265
176,Asia,"Water supply; sewerage, waste management and remediation activities",Methane,1273.473084,1331.168741,1358.891155,1387.118599,1419.722796,1445.728134,1480.26739,1507.351769,1535.695222,1591.002235,1553.261277,1758.563486
177,Asia,"Water supply; sewerage, waste management and remediation activities",Nitrous oxide,58.02401387,59.46723033,60.89976613,62.3469254,63.59507265,65.07258582,66.41631348,68.03616552,69.14929413,71.77709308,70.27028133,75.98418299
401,Europe,"Agriculture, Forestry and Fishing",Carbon dioxide,140.8168969,140.7881136,133.0849445,135.9734917,139.7151483,135.4698528,138.208562,138.7571581,139.4238402,139.7284039,136.0144315,147.1447742
402,Europe,"Agriculture, Forestry and Fishing",Greenhouse gas,735.5762033,742.8275042,731.3513425,744.0899932,754.1123613,747.0314759,757.2294402,761.0078513,759.3630265,756.8425247,736.803105,797.9344859
403,Europe,"Agriculture, Forestry and Fishing",Methane,312.3657795,309.6655964,309.8233968,310.7850732,311.9886278,310.9842035,310.9413774,310.7666086,308.7109529,307.114321,299.087075,329.8692095
404,Europe,"Agriculture, Forestry and Fishing",Nitrous oxide,282.3935269,292.3737941,288.4430013,297.3314283,302.4085852,300.5774196,308.0795008,311.4840846,311.2282333,309.9997998,301.7015984,320.9205022
405,Europe,Construction,Carbon dioxide,88.93988604,94.29991815,96.14599199,93.48190381,93.06101977,97.57471014,102.047197,103.6967291,99.21922616,97.36726795,88.66140502,92.33725714
406,Europe,Construction,Greenhouse gas,90.84417748,96.37431923,98.20867938,95.49216513,95.15600264,99.71220873,104.2058444,105.8955771,101.480863,99.69481975,90.91637405,94.75765229
407,Europe,Construction,Methane,0.935037974,0.934109839,0.929656145,0.90931552,1.009963668,1.007795423,1.024155417,1.028039968,1.091241569,1.158395125,1.112949907,1.214657233
408,Europe,Construction,Nitrous oxide,0.96925347,1.140291236,1.133031247,1.100945803,1.085019202,1.129703172,1.134491969,1.170808007,1.170395283,1.169156674,1.142019123,1.20573792
409,Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Carbon dioxide,2303.27752,2302.458144,2319.962881,2185.475462,2073.002376,1995.016916,1957.100415,1925.641693,1892.538706,1742.322588,1703.408699,1867.20596
410,Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2385.558861,2385.914195,2397.625025,2259.129985,2142.879096,2059.220194,2022.511899,1984.176496,1950.577951,1798.695343,1764.866598,1930.928478
